,fileName,#ignoredProtein,#valuedProtein
0,HF0256b_MSQ1071_120617_IremOz_5dil_3D_quant.csv,3143,2462
1,HF0083_MSQ459_Irem_20160109_5w-1C_3_quant.csv,3095,2006
2,QE819_MSQ1099_20170713_IremOz_58_quant.csv,2785,1610
3,HF0083_MSQ459_Irem_20160109_1w-3D_36_quant.csv,2940,1946
4,HF103_MSQ558_Irem_20160331_5SL_29_quant.csv,3262,2043
5,HF0083_MSQ459_Irem_20160109_5w-4A_37_quant.csv,2713,1468
6,QE819_MSQ1099_20170713_IremOz_6_quant.csv,3265,1604
7,HF0083_MSQ459_Irem_20160109_3w-2D_20_quant.csv,2908,2165
8,QE819_MSQ1099_20170713_IremOz_Pool4_quant.csv,2922,1659
9,QE819_MSQ1099_20170713_IremOz_70_quant.csv,2444,1092
10,QE752_MSQ988_20170315_BenHopkins_R3V1_quant.csv,2700,1774
